timestamp,username,ip_address,event_type,location,device,lat,lon,severity
2025-12-25 12:25:16,lakshmi.naidu,192.168.1.10,Login Success,"Chennai, IN",Windows-Edge,13.0827,80.2707,
2025-12-25 13:01:34,manoj.verma,10.0.0.12,Login Success,"Vijayawada, IN",iOS-App,16.5062,80.648,
2025-12-25 13:38:29,pooja.menon,10.0.0.27,Login Success,"Chennai, IN",MacOS-Safari,13.0827,80.2707,
2025-12-25 13:48:48,sneha.reddy,192.168.1.10,Login Success,"Hyderabad, IN",Android-App,17.385,78.4867,
2025-12-25 14:47:02,sneha.reddy,192.168.1.14,Login Success,"Ongole, IN",iOS-App,15.5057,80.0499,
2025-12-25 14:52:17,ravi.teja,192.168.1.14,Login Success,"Pune, IN",Android-App,18.5204,73.8567,
2025-12-25 17:46:27,lakshmi.naidu,172.16.0.4,Login Success,"Pune, IN",Linux-Firefox,18.5204,73.8567,
2025-12-25 17:52:57,suresh.babu,10.0.0.12,Login Failed,"Vijayawada, IN",Android-App,16.5062,80.648,Low
2025-12-25 18:35:56,rakesh.kumar,192.168.1.22,Login Success,"Hyderabad, IN",MacOS-Safari,17.385,78.4867,
2025-12-25 18:54:53,ravi.teja,10.0.0.12,Login Success,"Hyderabad, IN",Windows-Edge,17.385,78.4867,
2025-12-26 01:18:28,rakesh.kumar,10.0.0.27,Login Failed,"Bangalore, IN",Windows-Edge,12.9716,77.5946,Low
2025-12-26 02:40:23,naveen.chowdary,10.0.0.5,Login Success,"Pune, IN",MacOS-Safari,18.5204,73.8567,
2025-12-26 06:46:14,abhishek.nair,192.168.1.41,Login Success,"Chennai, IN",iOS-App,13.0827,80.2707,
2025-12-26 07:16:05,rakesh.kumar,172.16.0.4,Login Success,"Ongole, IN",MacOS-Safari,15.5057,80.0499,
2025-12-26 10:47:18,harish.bhat,10.0.0.27,Login Success,"Hyderabad, IN",Windows-Chrome,17.385,78.4867,
2025-12-26 10:57:41,deepika.rao,192.168.1.10,Login Success,"Vijayawada, IN",Windows-Chrome,16.5062,80.648,
2025-12-26 12:53:28,swathi.iyer,192.168.1.10,Login Success,"Ongole, IN",Windows-Chrome,15.5057,80.0499,
2025-12-26 13:03:19,pooja.menon,192.168.1.35,Login Success,"Bangalore, IN",Windows-Edge,12.9716,77.5946,
2025-12-26 13:22:49,rakesh.kumar,192.168.1.22,Login Success,"Vijayawada, IN",Android-App,16.5062,80.648,
2025-12-26 13:24:10,rakesh.kumar,192.168.1.14,Login Success,"Bangalore, IN",Windows-Edge,12.9716,77.5946,
2025-12-26 13:51:43,arjun.rao,10.0.0.18,Login Failed,"Pune, IN",MacOS-Safari,18.5204,73.8567,Low
2025-12-26 14:21:58,anjali.devi,172.16.0.4,Login Success,"Ongole, IN",Windows-Edge,15.5057,80.0499,
2025-12-26 16:57:10,divya.sharma,10.0.0.33,Login Success,"Bangalore, IN",iOS-App,12.9716,77.5946,
2025-12-26 18:51:22,arjun.rao,192.168.1.10,Login Failed,"Ongole, IN",Linux-Firefox,15.5057,80.0499,Low
2025-12-27 01:11:16,abhishek.nair,192.168.1.41,Login Success,"Hyderabad, IN",Windows-Chrome,17.385,78.4867,
2025-12-27 03:10:18,sneha.reddy,194.5.6.12,Login Failed,"Hanoi, VN",Android-App,21.0285,105.8542,Medium
2025-12-27 10:41:18,vijay.kumar,10.0.0.33,Login Success,"Ongole, IN",MacOS-Safari,15.5057,80.0499,
2025-12-27 10:57:05,anjali.devi,172.16.0.4,Login Success,"Vijayawada, IN",Windows-Edge,16.5062,80.648,
2025-12-27 11:08:09,lakshmi.naidu,10.0.0.5,Login Success,"Pune, IN",MacOS-Safari,18.5204,73.8567,
2025-12-27 12:15:39,lakshmi.naidu,192.168.1.10,Login Success,"Ongole, IN",Linux-Firefox,15.5057,80.0499,
2025-12-27 12:32:59,priya.singh,10.0.0.33,Login Success,"Vijayawada, IN",MacOS-Safari,16.5062,80.648,
2025-12-27 13:36:57,pooja.menon,192.168.1.41,Login Success,"Vijayawada, IN",iOS-App,16.5062,80.648,
2025-12-27 14:47:31,swathi.iyer,192.168.1.14,Login Success,"Hyderabad, IN",iOS-App,17.385,78.4867,
2025-12-27 17:24:23,naveen.chowdary,10.0.0.18,Login Success,"Ongole, IN",Windows-Chrome,15.5057,80.0499,
2025-12-27 17:26:59,vijay.kumar,10.0.0.33,Login Success,"Bangalore, IN",Windows-Edge,12.9716,77.5946,
2025-12-27 17:41:46,abhishek.nair,192.168.1.14,Login Success,"Ongole, IN",Windows-Edge,15.5057,80.0499,
2025-12-27 18:50:27,suresh.babu,192.168.1.35,Login Success,"Hyderabad, IN",Windows-Chrome,17.385,78.4867,
2025-12-27 19:33:41,ravi.teja,10.0.0.33,Login Success,"Ongole, IN",Windows-Edge,15.5057,80.0499,
2025-12-28 03:54:33,kiran.varma,10.0.0.33,Login Success,"Pune, IN",Windows-Chrome,18.5204,73.8567,
2025-12-28 10:05:38,ravi.teja,10.0.0.5,Login Success,"Hyderabad, IN",Windows-Edge,17.385,78.4867,
2025-12-28 10:09:35,priya.singh,172.16.0.9,Login Success,"Bangalore, IN",Windows-Edge,12.9716,77.5946,
2025-12-28 11:28:38,harish.bhat,172.16.0.9,Login Failed,"Bangalore, IN",Windows-Chrome,12.9716,77.5946,Low
2025-12-28 11:31:48,pooja.menon,172.16.0.4,Login Success,"Hyderabad, IN",Linux-Firefox,17.385,78.4867,
2025-12-28 12:51:02,anjali.devi,192.168.1.35,Login Success,"Bangalore, IN",Linux-Firefox,12.9716,77.5946,
2025-12-28 13:24:19,divya.sharma,172.16.0.4,Login Success,"Chennai, IN",iOS-App,13.0827,80.2707,
2025-12-28 13:27:10,sneha.reddy,192.168.1.14,Login Success,"Chennai, IN",iOS-App,13.0827,80.2707,
